year,month,rainfall,Flood
1983,Jan,0.035,0
1983,Feb,0,0
1983,Mar,1.523,0
1983,Apr,0.459,0
1983,May,53.434,0
1983,Jun,56.505,0
1983,Jul,94.602,0
1983,Aug,194.808,0
1983,Sep,254.248,0
1983,Oct,304.349,0
1983,Nov,91.932,0
1983,Dec,311.055,0
1984,Jan,21.078,0
1984,Feb,58.192,0
1984,Mar,18.085,0
1984,Apr,11.286,0
1984,May,1.151,0
1984,Jun,50.497,0
1984,Jul,177.823,0
1984,Aug,43.168,0
1984,Sep,239.775,0
1984,Oct,158.826,0
1984,Nov,316.022,0
1984,Dec,121.929,0
1985,Jan,49.645,0
1985,Feb,1.722,0
1985,Mar,0.688,0
1985,Apr,26.791,0
1985,May,4.981,0
1985,Jun,54.993,0
1985,Jul,185.641,0
1985,Aug,141.94,0
1985,Sep,330.309,0
1985,Oct,115.405,0
1985,Nov,768.912,1
1985,Dec,117.481,0
1986,Jan,63.261,0
1986,Feb,42.813,0
1986,Mar,0.082,0
1986,Apr,0.535,0
1986,May,5.035,0
1986,Jun,20.532,0
1986,Jul,47.592,0
1986,Aug,57.561,0
1986,Sep,103.093,0
1986,Oct,367.156,0
1986,Nov,145.174,0
1986,Dec,96.086,0
1987,Jan,1.541,0
1987,Feb,0,0
1987,Mar,15.47,0
1987,Apr,11.548,0
1987,May,9.367,0
1987,Jun,73.447,0
1987,Jul,44.168,0
1987,Aug,124.636,0
1987,Sep,36.684,0
1987,Oct,260.469,0
1987,Nov,196.579,0
1987,Dec,317.744,0
1988,Jan,0.023,0
1988,Feb,0,0
1988,Mar,0.588,0
1988,Apr,48.347,0
1988,May,51.337,0
1988,Jun,29.477,0
1988,Jul,125.841,0
1988,Aug,358.046,0
1988,Sep,203.903,0
1988,Oct,101.169,0
1988,Nov,371.411,0
1988,Dec,97.977,0
1989,Jan,5.504,0
1989,Feb,0,0
1989,Mar,25.699,0
1989,Apr,1.523,0
1989,May,7.723,0
1989,Jun,91.577,0
1989,Jul,138.574,0
1989,Aug,55.826,0
1989,Sep,241.578,0
1989,Oct,135.998,0
1989,Nov,365.671,0
1989,Dec,130.255,0
1990,Jan,9.614,0
1990,Feb,10.675,0
1990,Mar,18.999,0
1990,Apr,0.641,0
1990,May,61.131,0
1990,Jun,23.907,0
1990,Jul,62.758,0
1990,Aug,94.741,0
1990,Sep,212.795,0
1990,Oct,383.515,0
1990,Nov,194.189,0
1990,Dec,50.707,0
1991,Jan,5.935,0
1991,Feb,2.488,0
1991,Mar,0.306,0
1991,Apr,0.918,0
1991,May,5.071,0
1991,Jun,88.443,0
1991,Jul,78.151,0
1991,Aug,116.487,0
1991,Sep,122.46,0
